ticket_id,created_at,channel,customer_tier,language,product_area,subject,description,routed_team,secondary_issue_team,priority,status,ticket_text,text_length_chars,text_length_words
TKT-001117,2025-04-15 06:28:25,email,Pro,English,Web App,Problem with service,I am seeing unexpected behaviour in the product. It involves web app on my side. This is becoming urgent.,Technical Support,Unknown,Medium,Open,Problem with service I am seeing unexpected behaviour in the product. It involves web app on my side. This is becoming urgent.,126,22
TKT-001707,2025-04-15 09:38:14,chat,Basic,English,Premium Device,URGENT - Problem with Premium Device,The item is damaged so I may need a replacement or refund. It involves premium device on my side. This happened shortly after I updated my details. This is affecting my work today. Any help would be appreciated.,Refunds & Returns,Unknown,Medium,Pending,URGENT - Problem with Premium Device The item is damaged so I may need a replacement or refund. It involves premium device on my side. This happened shortly after I updated my details. This is affecting my work today. Any help would be appreciated.,248,44
TKT-002857,2025-04-15 11:54:58,chat,Pro,Spanish,Starter Kit,Need an update on this issue,Can someone help with this? My order has still not arrived. This is affecting my work today. This is becoming urgent.,Orders & Delivery,Unknown,Medium,Pending,Need an update on this issue Can someone help with this? My order has still not arrived. This is affecting my work today. This is becoming urgent.,146,27
TKT-001151,2025-04-15 12:04:13,phone,Enterprise,English,Unknown,Question about my account,"Hi, I am trying to return this purchase. Any help would be appreciated.",Refunds & Returns,Unknown,High,Open,"Question about my account Hi, I am trying to return this purchase. Any help would be appreciated.",97,17
TKT-000648,2025-04-15 12:19:54,chat,Basic,English,Admin Console,Need an update on this issue,I am comparing plans and need clarification. This may also be related because the password reset process is not working. This happened shortly after I updated my details. I would appreciate a quick response.,Product Inquiry,Account Access,Low,Resolved,Need an update on this issue I am comparing plans and need clarification. This may also be related because the password reset process is not working. This happened shortly after I updated my details. I would appreciate a quick response.,236,40
TKT-002682,2025-04-15 20:53:44,web_form,Basic,English,Premium Device,Need an update,"Hi, I want to know the status of the return request. It involves premium device on my side. Also, my order has still not arrived. I need this resolved as soon as possible. Please look into this.",Refunds & Returns,Orders & Delivery,Medium,Pending,"Need an update Hi, I want to know the status of the return request. It involves premium device on my side. Also, my order has still not arrived. I need this resolved as soon as possible. Please look into this.",209,40
TKT-002737,2025-04-15 20:57:56,email,Basic,English,Subscription Plan,Please  review  this  request,I  THINK  I  WAS  CHARGED  INCORRECTLY  FOR  THIS.  IT  INVOLVES  SUBSCRIPTION  PLAN  ON  MY  SIDE.  I  NOTICED  THIS  AFTER  TRYING  TO  MAKE  A  PAYMENT.  PLEASE  LET  ME  KNOW  WHAT  I  SHOULD  DO  NEXT.,Billing,Unknown,High,Open,Please review this request I THINK I WAS CHARGED INCORRECTLY FOR THIS. IT INVOLVES SUBSCRIPTION PLAN ON MY SIDE. I NOTICED THIS AFTER TRYING TO MAKE A PAYMENT. PLEASE LET ME KNOW WHAT I SHOULD DO NEXT.,201,37
TKT-DUP-00174,2025-04-15 22:12:29,email,Basic,English,Subscription Plan,Please  review  this  request,I  THINK  I  WAS  CHARGED  INCORRECTLY  FOR  THIS.  IT  INVOLVES  SUBSCRIPTION  PLAN  ON  MY  SIDE.  I  NOTICED  THIS  AFTER  TRYING  TO  MAKE  A  PAYMENT.  PLEASE  LET  ME  KNOW  WHAT  I  SHOULD  DO  NEXT. I need help with this.,Billing,Unknown,High,Open,Please review this request I THINK I WAS CHARGED INCORRECTLY FOR THIS. IT INVOLVES SUBSCRIPTION PLAN ON MY SIDE. I NOTICED THIS AFTER TRYING TO MAKE A PAYMENT. PLEASE LET ME KNOW WHAT I SHOULD DO NEXT. I need help with this.,224,42
TKT-003407,2025-04-16 06:25:54,web_form,Enterprise,French,Premium Device,FOLLOW-UP ON MY PREVIOUS ISSUE,I want to know the status of the return request. It involves premium device on my side.,Refunds & Returns,Unknown,Medium,Open,FOLLOW-UP ON MY PREVIOUS ISSUE I want to know the status of the return request. It involves premium device on my side.,118,22
TKT-003345,2025-04-16 06:44:11,phone,Free,English,Premium Device,Please  review  this  request,This has become a problem for me. I need my money back if this cannot be resolved. This happened shortly after I updated my details. This is becoming urgent.,Refunds & Returns,Unknown,Medium,Open,Please review this request This has become a problem for me. I need my money back if this cannot be resolved. This happened shortly after I updated my details. This is becoming urgent.,184,33
TKT-001939,2025-04-16 06:53:10,web_form,Pro,English,Replacement Unit,CAN SOMEONE HELP,I need to return the item because it is not as expected. This seems linked to my recent order. I have already tried a few times with no success. Any help would be appreciated.,Refunds & Returns,Unknown,Medium,Pending,CAN SOMEONE HELP I need to return the item because it is not as expected. This seems linked to my recent order. I have already tried a few times with no success. Any help would be appreciated.,192,37
TKT-000081,2025-04-16 08:18:26,chat,Pro,English,Data Export,Need help with my account,THIS  HAS  BECOME  A  PROBLEM  FOR  ME.  THIS  WAS  WORKING  BEFORE  BUT  NOW  IT  KEEPS  FAILING.  IT  INVOLVES  DATA  EXPORT  ON  MY  SIDE.  I  WOULD  APPRECIATE  A  QUICK  RESPONSE.,Technical Support,Unknown,Medium,Open,Need help with my account THIS HAS BECOME A PROBLEM FOR ME. THIS WAS WORKING BEFORE BUT NOW IT KEEPS FAILING. IT INVOLVES DATA EXPORT ON MY SIDE. I WOULD APPRECIATE A QUICK RESPONSE.,182,34
TKT-002376,2025-04-16 09:42:53,email,Free,English,Invoice Portal,Problem with service,I noticed an unexpected charge and need clarification. This may also be related because i cannot sign in to my account at the moment. This started after my last purchase. This is quite frustrating. Any help would be appreciated.,Billing,Account Access,High,Resolved,Problem with service I noticed an unexpected charge and need clarification. This may also be related because i cannot sign in to my account at the moment. This started after my last purchase. This is quite frustrating. Any help would be appreciated.,249,42
TKT-002901,2025-04-16 09:53:06,unknown,Pro,English,Invoice Portal,Question about Invoice Portal,The invoice does not look right to me. It involves invoice portal on my side. This may also be related because i am trying to return this purchase. I have already tried a few times with no success.,Billing,Refunds & Returns,Medium,Resolved,Question about Invoice Portal The invoice does not look right to me. It involves invoice portal on my side. This may also be related because i am trying to return this purchase. I have already tried a few times with no success.,227,42
TKT-000804,2025-04-16 10:16:57,chat,Pro,French,Starter Kit,Need help with my account,"Hi  team,  There  appears  to  be  an  isue  with  the  dispatch.  It  involves  starter  kit  on  my  side.  I  noticed  this  after  trying  to  make  a  payment.  I  need  this  resolved  as  soon  as  possible.",Orders & Delivery,Unknown,Medium,Open,"Need help with my account Hi team, There appears to be an isue with the dispatch. It involves starter kit on my side. I noticed this after trying to make a payment. I need this resolved as soon as possible.",206,40
TKT-DUP-00071,2025-04-16 10:20:38,chat,Pro,French,Starter Kit,Need help with my account,"Hi  team,  There  appears  to  be  an  isue  with  the  dispatch.  It  involves  starter  kit  on  my  side.  I  noticed  this  after  trying  to  make  a  payment.  I  need  this  resolved  as  soon  as  possible. Kindly check this.",Orders & Delivery,Unknown,Medium,Open,"Need help with my account Hi team, There appears to be an isue with the dispatch. It involves starter kit on my side. I noticed this after trying to make a payment. I need this resolved as soon as possible. Kindly check this.",225,43
TKT-001195,2025-04-16 16:15:21,phone,Pro,English,API,Please review this request,The page is not loading properly and I cannot complete the task. It involves api on my side.,Technical Support,Unknown,High,Open,Please review this request The page is not loading properly and I cannot complete the task. It involves api on my side.,119,22
TKT-003220,2025-04-16 17:08:53,web_form,Pro,English,Starter Kit,Need support urgently,"Hello, The product arrived damaged and I need help with next steps. It involves starter kit on my side. At the same time, the invoice does not look right to me. Any help would be appreciated.",Refunds & Returns,Billing,Low,Open,"Need support urgently Hello, The product arrived damaged and I need help with next steps. It involves starter kit on my side. At the same time, the invoice does not look right to me. Any help would be appreciated.",213,39
TKT-002833,2025-04-16 17:38:21,email,Enterprise,English,Web App,Question about my account,"Hi team, I cannot complete the workflow because something keeps breaking. At the same time, there seems to be a problem with the payment on my account. I only need a clear update on what is happening. This is affecting my work today. please advise.",Technical Support,Billing,Medium,Open,"Question about my account Hi team, I cannot complete the workflow because something keeps breaking. At the same time, there seems to be a problem with the payment on my account. I only need a clear update on what is happening. This is affecting my work today. please advise.",274,49
TKT-002118,2025-04-16 18:17:45,chat,Pro,French,Subscription Plan,Need help with my acount,"I need someone to review the billing on this account. Also, i am comparing plans and need clarification. This seems linked to my recent order. This is affecting my work today. This is becoming urgent.",Billing,Product Inquiry,Medium,Resolved,"Need help with my acount I need someone to review the billing on this account. Also, i am comparing plans and need clarification. This seems linked to my recent order. This is affecting my work today. This is becoming urgent.",225,40
TKT-001234,2025-04-16 18:34:03,chat,Pro,English,Mobile App,Please review this request,I need help with something. I am seeing unexpected behaviour in the product. It involves mobile app on my side. Any help would be appreciated.,Technical Support,Unknown,Medium,Open,Please review this request I need help with something. I am seeing unexpected behaviour in the product. It involves mobile app on my side. Any help would be appreciated.,169,29
TKT-000913,2025-04-16 23:33:11,unknown,Pro,Spanish,Mobile App,Problem  with  Mobile  App,"Hi, This looks like an account access problem.",Account Access,Unknown,Medium,Open,"Problem with Mobile App Hi, This looks like an account access problem.",70,12
TKT-000660,2025-04-17 04:48:28,web_form,Basic,English,Subscription Plan,Help needed,THE  RENEWAL  AMOUNT  LOOKS  DIFFERENT  FROM  WHAT  I  EXPECTED.  THIS  IS  BECOMING  URGENT.,Billing,Unknown,Medium,Resolved,Help needed THE RENEWAL AMOUNT LOOKS DIFFERENT FROM WHAT I EXPECTED. THIS IS BECOMING URGENT.,93,15
TKT-000099,2025-04-17 05:27:52,phone,Basic,English,API,Follow-up on my previous isue,I NEED HELP WITH SOMETHING. THE PAGE IS NOT LOADING PROPERLY AND I CANNOT COMPLETE THE TASK. THIS MAY ALSO BE RELATED BECAUSE THE INVOICE DOES NOT LOOK RIGHT TO ME.,Technical Support,Billing,Medium,Open,Follow-up on my previous isue I NEED HELP WITH SOMETHING. THE PAGE IS NOT LOADING PROPERLY AND I CANNOT COMPLETE THE TASK. THIS MAY ALSO BE RELATED BECAUSE THE INVOICE DOES NOT LOOK RIGHT TO ME.,194,36
TKT-000076,2025-04-17 10:02:47,web_form,Enterprise,English,API,Need help with API please,THIS HAS BECOME A PROBLEM FOR ME. I AM SEEING UNEXPECTED BEHAVIOUR IN THE PRODUCT. IT INVOLVES API ON MY SIDE. THIS HAS BEEN GOING ON SINCE YESTERDAY.,Technical Support,Unknown,Medium,Open,Need help with API please THIS HAS BECOME A PROBLEM FOR ME. I AM SEEING UNEXPECTED BEHAVIOUR IN THE PRODUCT. IT INVOLVES API ON MY SIDE. THIS HAS BEEN GOING ON SINCE YESTERDAY.,176,33
TKT-002550,2025-04-17 10:19:02,chat,Basic,English,Starter Kit,URGENT - Need  support  urgently,,Refunds & Returns,Orders & Delivery,Medium,Open,URGENT - Need support urgently,30,5
TKT-000987,2025-04-17 10:21:59,email,Free,English,Analytics Dashboard,Question about my account,The issue seems technical because the same step keeps timing out. It involves analytics dashboard on my side. This may also be related because the verification step is failing and I need help. I only need a clear update on what is happening. This is quite frustrating. Please let me know what I should do next.,Technical Support,Account Access,Medium,Resolved,Question about my account The issue seems technical because the same step keeps timing out. It involves analytics dashboard on my side. This may also be related because the verification step is failing and I need help. I only need a clear update on what is happening. This is quite frustrating. Please let me know what I should do next.,336,60
TKT-000834,2025-04-17 10:44:52,chat,Basic,English,Starter Kit,Problem with service,"Good morning, There seems to be a delay with the shipment. This seems linked to my recent order. Please look into this.",Orders & Delivery,Unknown,Low,Pending,"Problem with service Good morning, There seems to be a delay with the shipment. This seems linked to my recent order. Please look into this.",140,25
TKT-002175,2025-04-17 12:57:35,web_form,Basic,Spanish,Invoice Portal,Question about Invoice Portal,I need more information before making a decision. It involves invoice portal on my side. This seems linked to my recent order. Please advise.,Product Inquiry,Unknown,Low,Open,Question about Invoice Portal I need more information before making a decision. It involves invoice portal on my side. This seems linked to my recent order. Please advise.,171,28
TKT-001014,2025-04-17 13:21:28,web_form,Enterprise,English,Premium Device,Issue with not as expected,Can someone help with this? I need my money back if this cannot be resolved. Thanks.,Refunds & Returns,Unknown,Medium,Open,Issue with not as expected Can someone help with this? I need my money back if this cannot be resolved. Thanks.,111,21
TKT-001579,2025-04-17 20:12:59,phone,Basic,English,Starter Kit,Please review this request,The  product  arrived  damaged  and  I  need  help  with  next  steps.  Thanks.,Refunds & Returns,Unknown,High,Open,Please review this request The product arrived damaged and I need help with next steps. Thanks.,95,16
TKT-002325,2025-04-17 21:08:39,email,Free,Spanish,Starter Kit,payment failed on my account today,"The renewal amount looks different from what I expected. It involves starter kit on my side. In addition, i think the wrong item was sent. Any help would be appreciated.",Billing,Orders & Delivery,Medium,Open,"payment failed on my account today The renewal amount looks different from what I expected. It involves starter kit on my side. In addition, i think the wrong item was sent. Any help would be appreciated.",204,36
TKT-002502,2025-04-17 21:57:34,web_form,Basic,English,Replacement Unit,Help needed,"delivry is taking longer than expected. It involves replacement unit on my side. At the same time, the product arrived damaged and I need help with next steps.",Orders & Delivery,Refunds & Returns,Medium,Resolved,"Help needed delivry is taking longer than expected. It involves replacement unit on my side. At the same time, the product arrived damaged and I need help with next steps.",171,30
TKT-003134,2025-04-18 00:45:56,chat,Enterprise,English,Premium Device,URGENT - Issue with recent order,I think the wrong item was sent. This may also be related because the item is damaged so I may need a replacement or refund. I am using the service on mobile.,Orders & Delivery,Refunds & Returns,High,Pending,URGENT - Issue with recent order I think the wrong item was sent. This may also be related because the item is damaged so I may need a replacement or refund. I am using the service on mobile.,191,38
TKT-001294,2025-04-18 01:06:24,email,Free,Spanish,Premium Device,Need  an  update  on  this  issue,"Hello,  The  item  is  damaged  so  I  may  need  a  replacement  or  refund.  It  involves  premium  device  on  my  side.  Also,  my  order  has  still  not  arrived.  This  is  quite  frustrating.  Thanks.",Refunds & Returns,Orders & Delivery,Medium,Resolved,"Need an update on this issue Hello, The item is damaged so I may need a replacement or refund. It involves premium device on my side. Also, my order has still not arrived. This is quite frustrating. Thanks.",206,38
TKT-002301,2025-04-18 02:22:37,web_form,Basic,Spanish,API,bug on my account,The page is not loading properly and I cannot complete the task. This seems linked to my recent order.,Technical Support,Unknown,Medium,Open,bug on my account The page is not loading properly and I cannot complete the task. This seems linked to my recent order.,120,23
TKT-001070,2025-04-18 03:11:41,unknown,Basic,English,Web App,Need an update on this issue,This was working before but now it keeps failing. This is becoming urgent.,Technical Support,Unknown,Medium,Open,Need an update on this issue This was working before but now it keeps failing. This is becoming urgent.,103,19
TKT-003293,2025-04-18 08:35:48,chat,Unknown,English,Admin Console,HELP NEEDED,Authentication is not going through on my side. Please let me know what I should do next.,Account Access,Unknown,High,Open,HELP NEEDED Authentication is not going through on my side. Please let me know what I should do next.,101,19
TKT-001901,2025-04-18 09:30:58,phone,Basic,French,Replacement Unit,Question  about  my  account,Can someone help with this? I want to know the status of the return request. I only need a clear update on what is happening. Thanks.,Refunds & Returns,Unknown,High,Open,Question about my account Can someone help with this? I want to know the status of the return request. I only need a clear update on what is happening. Thanks.,159,30
TKT-002117,2025-04-18 11:20:51,chat,Pro,English,Premium Device,Support request,"Hi,  I  need  more  information  before  making  a  decision.  It  involves  premium  device  on  my  side.  At  the  same  time,  the  export  fails  halfway  through  and  I  do  not  know  why.",Product Inquiry,Technical Support,Low,Pending,"Support request Hi, I need more information before making a decision. It involves premium device on my side. At the same time, the export fails halfway through and I do not know why.",182,33
TKT-002015,2025-04-18 16:40:41,chat,Free,French,Starter Kit,Can someone help,"Good morning, There appears to be an issue with the dispatch. Also, i would like a refund for this order. I have already tried a few times with no success. I would appreciate a quick response.",Orders & Delivery,Refunds & Returns,Medium,Open,"Can someone help Good morning, There appears to be an issue with the dispatch. Also, i would like a refund for this order. I have already tried a few times with no success. I would appreciate a quick response.",209,39
TKT-001150,2025-04-18 18:13:56,email,Basic,English,Replacement Unit,Need support urgently,This has become a problem for me. I think the wrong item was sent. Any help would be appreciated.,Orders & Delivery,Unknown,Low,Resolved,Need support urgently This has become a problem for me. I think the wrong item was sent. Any help would be appreciated.,119,22
TKT-001850,2025-04-18 22:54:11,email,Basic,English,Web App,Need help with Web App,"Hi team, The issue seems technical because the same step keeps timing out. It involves web app on my side. Thanks.",Technical Support,Unknown,Medium,Pending,"Need help with Web App Hi team, The issue seems technical because the same step keeps timing out. It involves web app on my side. Thanks.",137,26
TKT-000015,2025-04-19 01:32:22,web_form,Pro,Spanish,Unknown,isue with return request,"Hi team, I have not had an update on my refund yet. It involves premium device on my side.",Refunds & Returns,Unknown,Medium,Pending,"isue with return request Hi team, I have not had an update on my refund yet. It involves premium device on my side.",115,23
TKT-000500,2025-04-19 03:18:21,email,Pro,English,API,URGENT - Problem with service,"Hello, The app crashes when I try to use this feature. It involves api on my side. At the same time, could you explain the difference between the available options? I am using the service on mobile. I was hoping this would be fixed by now. Thanks.",Technical Support,Product Inquiry,High,Resolved,"URGENT - Problem with service Hello, The app crashes when I try to use this feature. It involves api on my side. At the same time, could you explain the difference between the available options? I am using the service on mobile. I was hoping this would be fixed by now. Thanks.",277,52
TKT-001878,2025-04-19 08:33:09,phone,Basic,French,Web App,Issue with recent order,"Hi team, I still cannot access the portal after trying several times. It involves web app on my side. I do not know if this should go to billing or support. This is affecting my work today. Thanks.",Account Access,Unknown,Medium,Open,"Issue with recent order Hi team, I still cannot access the portal after trying several times. It involves web app on my side. I do not know if this should go to billing or support. This is affecting my work today. Thanks.",221,42
TKT-000980,2025-04-19 11:02:48,email,Enterprise,English,Admin Console,Need help with my acount,"Good morning, I need more information before making a decision.",Product Inquiry,Unknown,Medium,Resolved,"Need help with my acount Good morning, I need more information before making a decision.",88,15
TKT-002896,2025-04-19 21:51:12,chat,Free,English,Premium Device,Problem with Premium Device,"GOOD MORNING, DELIVERY IS TAKING LONGER THAN EXPECTED. IT INVOLVES PREMIUM DEVICE ON MY SIDE. THIS HAPPENED SHORTLY AFTER I UPDATED MY DETAILS. ANY HELP WOULD BE APPRECIATED.",Orders & Delivery,Unknown,Medium,Open,"Problem with Premium Device GOOD MORNING, DELIVERY IS TAKING LONGER THAN EXPECTED. IT INVOLVES PREMIUM DEVICE ON MY SIDE. THIS HAPPENED SHORTLY AFTER I UPDATED MY DETAILS. ANY HELP WOULD BE APPRECIATED.",202,32
TKT-000151,2025-04-19 22:04:36,email,Basic,French,Premium Device,payment on my acount,This has become a problem for me. I think I was charged incorrectly for this. It involves premium device on my side. This may also be related because i am trying to return this purchase. Please look into this.,Billing,Refunds & Returns,Medium,Open,payment on my acount This has become a problem for me. I think I was charged incorrectly for this. It involves premium device on my side. This may also be related because i am trying to return this purchase. Please look into this.,230,43
TKT-002825,2025-04-19 22:57:05,web_form,Free,French,Invoice Portal,isue with payment failed,"Hi team, I need someone to review the billing on this account. Please let me know what I should do next.",Billing,Unknown,High,Open,"isue with payment failed Hi team, I need someone to review the billing on this account. Please let me know what I should do next.",129,25
TKT-001334,2025-04-19 23:38:18,email,Pro,English,Admin Console,Can someone help,The  password  reset  process  is  not  working.  It  involves  admin  console  on  my  side.  Any  help  would  be  appreciated.,Account Access,Unknown,Medium,Open,Can someone help The password reset process is not working. It involves admin console on my side. Any help would be appreciated.,128,22
TKT-002324,2025-04-19 23:40:30,chat,Basic,Spanish,Replacement Unit,missing order on my account,"Delivery is taking longer than expected. It involves replacement unit on my side. At the same time, i am trying to return this purchase. I noticed this after trying to make a payment. I have already tried a few times with no success.",Orders & Delivery,Refunds & Returns,Low,Open,"missing order on my account Delivery is taking longer than expected. It involves replacement unit on my side. At the same time, i am trying to return this purchase. I noticed this after trying to make a payment. I have already tried a few times with no success.",261,48
TKT-003073,2025-04-19 23:41:48,chat,Basic,English,Mobile App,isue  with  compatibility,Can someone help with this? I am comparing plans and need clarification. This has been going on since yesterday.,Product Inquiry,Unknown,Medium,Open,isue with compatibility Can someone help with this? I am comparing plans and need clarification. This has been going on since yesterday.,136,22
TKT-002414,2025-04-20 00:33:20,web_form,Free,English,Web App,Question  about  Web  App,"Hi  team,  This  was  workng  before  but  now  it  keeps  failing.  I  noticed  this  after  trying  to  make  a  payment.  I  need  this  resolved  as  soon  as  possible.  Please  let  me  know  what  I  should  do  next.",Technical Support,Unknown,Medium,Open,"Question about Web App Hi team, This was workng before but now it keeps failing. I noticed this after trying to make a payment. I need this resolved as soon as possible. Please let me know what I should do next.",211,41
TKT-000399,2025-04-20 01:33:27,web_form,Enterprise,English,Invoice Portal,Issue with renewal again,This has become a problem for me. I am not sure why this payment failed. I was hoping this would be fixed by now.,Billing,Unknown,Medium,Open,Issue with renewal again This has become a problem for me. I am not sure why this payment failed. I was hoping this would be fixed by now.,138,28
TKT-002486,2025-04-20 07:19:38,web_form,Free,English,Premium Device,Question about Premium Device,"GOOD MORNING, I CANNOT TELL WHERE THE ORDER CURRENTLY IS. THIS IS QUITE FRUSTRATING. THANKS.",Orders & Delivery,Unknown,High,Pending,"Question about Premium Device GOOD MORNING, I CANNOT TELL WHERE THE ORDER CURRENTLY IS. THIS IS QUITE FRUSTRATING. THANKS.",122,19
TKT-000150,2025-04-20 08:57:04,chat,Basic,English,Replacement Unit,Question about Replacement Unit,"Good morning, I need my money back if this cannot be resolved. I would appreciate a quick response.",Refunds & Returns,Unknown,Medium,Open,"Question about Replacement Unit Good morning, I need my money back if this cannot be resolved. I would appreciate a quick response.",131,22
TKT-002484,2025-04-20 10:04:26,web_form,Basic,Spanish,Premium Device,amount looks wrong on my account,"Good  morning,  I  need  someone  to  review  the  billing  on  this  account.  At  the  same  time,  i  want  to  know  the  status  of  the  return  request.  I  was  hoping  this  would  be  fixed  by  now.  Please  look  into  this.",Billing,Refunds & Returns,Low,Open,"amount looks wrong on my account Good morning, I need someone to review the billing on this account. At the same time, i want to know the status of the return request. I was hoping this would be fixed by now. Please look into this.",231,45
TKT-000008,2025-04-20 10:09:31,web_form,Basic,English,Analytics Dashboard,probem with Analytics Dashboard,Can someone help with this? The page is not loading properly and I cannot complete the task. It involves analytics dashboard on my side.,Technical Support,Unknown,High,Open,probem with Analytics Dashboard Can someone help with this? The page is not loading properly and I cannot complete the task. It involves analytics dashboard on my side.,168,28
TKT-003236,2025-04-20 10:15:51,phone,Basic,English,Replacement Unit,URGENT - Need help with Replacement Unit,I think the wrong item was sent. It involves replacement unit on my side. pls let me know what I should do next.,Orders & Delivery,Unknown,Medium,Resolved,URGENT - Need help with Replacement Unit I think the wrong item was sent. It involves replacement unit on my side. pls let me know what I should do next.,153,30
TKT-DUP-00110,2025-04-20 10:42:42,chat,Basic,English,Replacement Unit,Question about Replacement Unit,"Good morning, I need my money back if this cannot be resolved. I would appreciate a quick response. Kindly check this.",Refunds & Returns,Unknown,Medium,Open,"Question about Replacement Unit Good morning, I need my money back if this cannot be resolved. I would appreciate a quick response. Kindly check this.",150,25
TKT-000684,2025-04-20 12:16:59,email,Basic,English,API,Please review this request,Can someone help with this? The page is not loading properly and I cannot complete the task. It involves api on my side. Please let me know what I should do next.,Technical Support,Unknown,Medium,Open,Please review this request Can someone help with this? The page is not loading properly and I cannot complete the task. It involves api on my side. Please let me know what I should do next.,189,36
TKT-001214,2025-04-20 15:34:56,email,Pro,English,Admin Console,probem with service still,I need help with something. The login step keeps failing even though my details should be correct. It involves admin console on my side. I am using the service on mobile. I would appreciate a quick response.,Account Access,Unknown,Medium,Resolved,probem with service still I need help with something. The login step keeps failing even though my details should be correct. It involves admin console on my side. I am using the service on mobile. I would appreciate a quick response.,233,41
TKT-001619,2025-04-20 16:42:12,chat,Free,English,Premium Device,Follow-up  on  my  previous  issue,"I want to understand the pricing options better. It involves premium device on my side. Also, i think I was charged incorrectly for this. I am using the service on mobile. Please let me know what I should do next.",Product Inquiry,Billing,Low,Open,"Follow-up on my previous issue I want to understand the pricing options better. It involves premium device on my side. Also, i think I was charged incorrectly for this. I am using the service on mobile. Please let me know what I should do next.",244,45
TKT-001927,2025-04-20 22:51:33,email,Enterprise,English,Customer Portal,Need  help  with  my  account,"Good morning, This looks like an account access problem. It involves customer portal on my side. please look into this.",Account Access,Unknown,High,Resolved,"Need help with my account Good morning, This looks like an account access problem. It involves customer portal on my side. please look into this.",145,25
TKT-000327,2025-04-20 23:33:53,web_form,Basic,English,Starter Kit,pls review this request,"Hello, I need to return the item because it is not as expected. It involves starter kit on my side. I was hoping this would be fixed by now.",Refunds & Returns,Unknown,Medium,Resolved,"pls review this request Hello, I need to return the item because it is not as expected. It involves starter kit on my side. I was hoping this would be fixed by now.",164,33
TKT-001742,2025-04-21 01:04:16,email,Basic,English,Invoice Portal,Problem with recent activity,"Good morning, Can you explain how this feature works? It involves invoice portal on my side. I need this resolved as soon as possible. Please advise.",Product Inquiry,Unknown,Medium,Resolved,"Problem with recent activity Good morning, Can you explain how this feature works? It involves invoice portal on my side. I need this resolved as soon as possible. Please advise.",178,30
TKT-002611,2025-04-21 04:29:30,email,Basic,English,Analytics Dashboard,Question about Analytics Dashboard,"Hi team, The export fails halfway through and I do not know why. I need this resolved as soon as possible. Please look into this.",Technical Support,Unknown,Medium,Open,"Question about Analytics Dashboard Hi team, The export fails halfway through and I do not know why. I need this resolved as soon as possible. Please look into this.",164,29
TKT-003037,2025-04-21 05:19:07,web_form,Basic,English,Data Export,URGENT - Support request,Can someone help with this? Could you explain the difference between the available options? It involves data export on my side.,Product Inquiry,Unknown,Low,Open,URGENT - Support request Can someone help with this? Could you explain the difference between the available options? It involves data export on my side.,152,25
TKT-002603,2025-04-21 05:55:55,web_form,Free,French,Replacement Unit,URGENT - Issue with return request,"Hi,  Tracking  has  not  updated  in  a  while.  It  involves  replacement  unit  on  my  side.  This  may  also  be  related  because  i  want  to  know  the  status  of  the  return  request.  This  started  after  my  last  purchase.  This  is  affecting  my  work  today.",Orders & Delivery,Refunds & Returns,High,Pending,"URGENT - Issue with return request Hi, Tracking has not updated in a while. It involves replacement unit on my side. This may also be related because i want to know the status of the return request. This started after my last purchase. This is affecting my work today.",268,49
TKT-001040,2025-04-21 07:25:58,web_form,Basic,French,Starter Kit,Problem with service,The product arrived damaged and I need help with next steps. It involves starter kit on my side. This is becoming urgent.,Refunds & Returns,Unknown,Medium,Resolved,Problem with service The product arrived damaged and I need help with next steps. It involves starter kit on my side. This is becoming urgent.,142,25
TKT-002065,2025-04-21 13:29:46,chat,Basic,English,Replacement Unit,PROBEM  WITH  SERVICE,"Hello, I think I was charged incorrectly for this. It involves replacement unit on my side. In addition, i would like a refund for this order. Any help would be appreciated.",Billing,Refunds & Returns,Medium,Pending,"PROBEM WITH SERVICE Hello, I think I was charged incorrectly for this. It involves replacement unit on my side. In addition, i would like a refund for this order. Any help would be appreciated.",193,34
TKT-000739,2025-04-21 14:32:47,phone,Basic,English,Replacement Unit,Need help with my account,I have not had an update on my refund yet. I need this resolved as soon as possible. Please advise.,Refunds & Returns,Unknown,High,Resolved,Need help with my account I have not had an update on my refund yet. I need this resolved as soon as possible. Please advise.,125,25
TKT-001339,2025-04-21 15:27:43,email,Basic,English,Replacement Unit,Support request,The product arrived damaged and I need help with next steps. I do not know if this should go to billing or support. This is becoming urgent.,Refunds & Returns,Unknown,Low,Open,Support request The product arrived damaged and I need help with next steps. I do not know if this should go to billing or support. This is becoming urgent.,156,29
TKT-003518,2025-04-21 21:11:03,email,Free,Spanish,Analytics Dashboard,Question about Analytics Dashboard,This has become a problem for me. This was working before but now it keeps failing. It involves analytics dashboard on my side. This is becoming urgent.,Technical Support,Unknown,Medium,Open,Question about Analytics Dashboard This has become a problem for me. This was working before but now it keeps failing. It involves analytics dashboard on my side. This is becoming urgent.,187,31
TKT-002699,2025-04-22 08:44:45,chat,Enterprise,English,Mobile App,Follow-up on my previous issue,This has become a problem for me. I still cannot access the portal after trying several times. This is quite frustrating. Please advise.,Account Access,Unknown,High,Pending,Follow-up on my previous issue This has become a problem for me. I still cannot access the portal after trying several times. This is quite frustrating. Please advise.,167,28
